Cecil Andrus,M,Caucasian/White,1931,null,null,1971,1977,Idaho
John V. Evans,M,Caucasian/White,1925,null,null,1977,1987,Idaho
Cecil Andrus,M,Caucasian/White,1931,null,null,1987,1995,Idaho
Phil Batt,M,Caucasian/White,1927,null,null,1995,1999,Idaho
Dirk Kempthorne,M,Caucasian/White,1951,null,null,1999,2006,Idaho
Jim Risch,M,Caucasian/White,1943,null,null,2006,2007,Idaho
Butch Otter,M,Caucasian/White,1942,null,null,2007,2019,Idaho
Brad Little,M,Caucasian/White,1954,null,null,2019,2020,Idaho
Richard B. Ogilvie,M,Caucasian/White,1923,null,null,1969,1973,Illinois
Dan Walker,M,Caucasian/White,1922,null,null,1973,1977,Illinois
James R. Thompson,M,Caucasian/White,1936,null,null,1977,1991,Illinois
Jim Edgar,M,Caucasian/White,1946,null,null,1991,1999,Illinois
George Ryan,M,Caucasian/White,1934,null,null,1999,2003,Illinois
Rod Blagojevich,M,Caucasian/White,1956,null,null,2003,2009,Illinois
Pat Quinn,M,Caucasian/White,1948,null,null,2009,2015,Illinois
Bruce Rauner,M,Caucasian/White,1956,null,null,2015,2019,Illinois
J. B. Pritzker,M,Caucasian/White,1965,null,null,2019,2020,Illinois
Edgar Whitcomb,M,Caucasian/White,1917,null,null,1969,1973,Indiana
Otis Bowen,M,Caucasian/White,1918,null,null,1973,1981,Indiana
Robert D. Orr,M,Caucasian/White,1917,null,null,1981,1989,Indiana
Evan Bayh,M,Caucasian/White,1955,null,null,1989,1997,Indiana
Frank OBannon,M,Caucasian/White,1930,null,null,1997,2003,Indiana
Joe Kernan,M,Caucasian/White,1946,null,null,2003,2005,Indiana
Mitch Daniels,M,Caucasian/White,1949,null,null,2005,2013,Indiana
Mike Pence,M,Caucasian/White,1959,null,null,2013,2017,Indiana
Eric Holcomb,M,Caucasian/White,1968,null,null,2017,2020,Indiana
Robert D. Ray,M,Caucasian/White,1928,null,null,1969,1983,Iowa
Terry Branstad,M,Caucasian/White,1946,null,null,1983,1999,Iowa
Tom Vilsack,M,Caucasian/White,1950,null,null,1999,2007,Iowa
Chet Culver,M,Caucasian/White,1966,null,null,2007,2011,Iowa
Terry Branstad,M,Caucasian/White,1946,null,null,2011,2017,Iowa
Kim Reynolds,F,Caucasian/White,1959,null,null,2017,2020,Iowa
William H. Avery,M,Caucasian/White,1911,null,null,1965,1967,Kansas
Robert Docking,M,Caucasian/White,1925,null,null,1967,1975,Kansas
Robert Frederick Bennett,M,Caucasian/White,1927,null,null,1975,1979,Kansas
John W. Carlin,M,Caucasian/White,1940,null,null,1979,1987,Kansas
Mike Hayden,M,Caucasian/White,1944,null,null,1987,1991,Kansas
Joan Finney,F,Caucasian/White,1925,null,null,1991,1995,Kansas
Bill Graves,M,Caucasian/White,1953,null,null,1995,2003,Kansas
Kathleen Sebelius,F,Caucasian/White,1948,null,null,2003,2009,Kansas
Mark Parkinson,M,Caucasian/White,1957,null,null,2009,2011,Kansas
Sam Brownback,M,Caucasian/White,1956,null,null,2011,2018,Kansas
Jeff Colyer,M,Caucasian/White,1960,null,null,2018,2019,Kansas
Laura Kelly,F,Caucasian/White,1950,null,null,2019,2020,Kansas
Louie Nunn,M,Caucasian/White,1924,null,null,1967,1971,Kentucky
Wendell Ford,M,Caucasian/White,1924,null,null,1971,1974,Kentucky
Julian Carroll,M,Caucasian/White,1931,null,null,1974,1979,Kentucky
John Y. Brown Jr.,M,Caucasian/White,1933,null,null,1979,1983,Kentucky
Martha Layne Collins,F,Caucasian/White,1936,null,null,1983,1987,Kentucky
Wallace Wilkinson,M,Caucasian/White,1941,null,null,1987,1991,Kentucky
Brereton Jones,M,Caucasian/White,1939,null,null,1991,1995,Kentucky
Paul E. Patton,M,Caucasian/White,1937,null,null,1995,2003,Kentucky
Ernie Fletcher,M,Caucasian/White,1952,null,null,2003,2007,Kentucky
Steve Beshear,M,Caucasian/White,1944,null,null,2007,2015,Kentucky
Matt Bevin,M,Caucasian/White,1967,null,null,2015,2019,Kentucky
Andy Beshear,M,Caucasian/White,1977,null,null,2019,2020,Kentucky
John McKeithen,M,Caucasian/White,1918,null,null,1964,1972,Louisiana
Edwin Edwards,M,Caucasian/White,1927,null,null,1972,1980,Louisiana
Dave Treen,M,Caucasian/White,1928,null,null,1980,1984,Louisiana
Edwin Edwards,M,Caucasian/White,1927,null,null,1984,1988,Louisiana
Buddy Roemer,M,Caucasian/White,1943,null,null,1988,1992,Louisiana
Edwin Edwards,M,Caucasian/White,1928,null,null,1992,1996,Louisiana
Mike Foster,M,Caucasian/White,1930,null,null,1996,2004,Louisiana
Kathleen Blanco,F,Caucasian/White,1942,null,null,2004,2008,Louisiana
Bobby Jindal,M,Asian/Pacific Islander,1971,null,null,2008,2016,Louisiana
John Bel Edwards,M,Caucasian/White,1966,null,null,2016,2020,Louisiana
Kenneth M. Curtis,M,Caucasian/White,1931,null,null,1967,1975,Maine
James B. Longley,M,Caucasian/White,1924,null,null,1975,1979,Maine
Joseph Brennan,M,Caucasian/White,1934,null,null,1979,1987,Maine
John McKernan,M,Caucasian/White,1948,null,null,1987,1995,Maine
Angus King,M,Caucasian/White,1944,null,null,1995,2003,Maine
John Baldacci,M,Caucasian/White,1955,null,null,2003,2011,Maine
Paul LePage,M,Caucasian/White,1948,null,null,2011,2019,Maine
Janet Mills,F,Caucasian/White,1947,null,null,2019,2020,Maine
Marvin Mandel,M,Caucasian/White,1920,null,null,1969,1979,Maryland
Blair Lee III,M,Caucasian/White,1916,null,null,1977,1979,Maryland
Harry Hughes,M,Caucasian/White,1926,null,null,1979,1987,Maryland
William Donald Schaefer,M,Caucasian/White,1921,null,null,1987,1995,Maryland
Parris Glendening,M,Caucasian/White,1942,null,null,1995,2003,Maryland
Bob Ehrlich,M,Caucasian/White,1957,null,null,2003,2007,Maryland
Martin OMalley,M,Caucasian/White,1963,null,null,2007,2015,Maryland
Larry Hogan,M,Caucasian/White,1956,null,null,2015,2020,Maryland
Francis Sargent,M,Caucasian/White,1915,null,null,1969,1975,Massachusetts
Michael Dukakis,M,Caucasian/White,1933,null,null,1975,1979,Massachusetts
Edward J. King,M,Caucasian/White,1925,null,null,1979,1983,Massachusetts
Michael Dukakis,M,Caucasian/White,1933,null,null,1983,1991,Massachusetts
Bill Weld,M,Caucasian/White,1945,null,null,1991,1997,Massachusetts
Paul Cellucci,M,Caucasian/White,1948,null,null,1997,2001,Massachusetts
Jane Swift,F,Caucasian/White,1965,null,null,2001,2003,Massachusetts
Mitt Romney,M,Caucasian/White,1947,null,null,2003,2007,Massachusetts
Deval Patrick,M,Black/African American,1956,null,null,2007,2015,Massachusetts
Charlie Baker,M,Caucasian/White,1956,null,null,2015,2020,Massachusetts
William Milliken,M,Caucasian/White,1922,null,null,1969,1983,Michigan
James Blanchard,M,Caucasian/White,1942,null,null,1983,1991,Michigan
John Engler,M,Caucasian/White,1948,null,null,1991,2003,Michigan
Jennifer Granholm,F,Caucasian/White,1959,null,null,2003,2011,Michigan
Rick Snyder,M,Caucasian/White,1958,null,null,2011,2019,Michigan
Gretchen Whitmer,F,Caucasian/White,1971,null,null,2019,2020,Michigan
Harold LeVander,M,Caucasian/White,1910,null,null,1967,1971,Minnesota
Wendell R. Anderson,M,Caucasian/White,1933,null,null,1971,1976,Minnesota
Rudy Perpich,M,Caucasian/White,1928,null,null,1976,1979,Minnesota
Al Quie,M,Caucasian/White,1923,null,null,1979,1983,Minnesota
Rudy Perpich,M,Caucasian/White,1928,null,null,1983,1991,Minnesota
Arne H. Carlson,M,Caucasian/White,1934,null,null,1991,1999,Minnesota
Jesse Ventura,M,Caucasian/White,1951,null,null,1999,2003,Minnesota
Tim Pawlenty,M,Caucasian/White,1960,null,null,2003,2011,Minnesota
Mark Dayton,M,Caucasian/White,1947,null,null,2011,2019,Minnesota
Tim Walz,M,Caucasian/White,1964,null,null,2019,2020,Minnesota
John Bell Williams,M,Caucasian/White,1918,null,null,1968,1972,Mississippi
William Waller,M,Caucasian/White,1926,null,null,1972,1976,Mississippi
Cliff Finch,M,Caucasian/White,1927,null,null,1976,1980,Mississippi
William Winter,M,Caucasian/White,1923,null,null,1980,1984,Mississippi
William Allain,M,Caucasian/White,1928,null,null,1984,1988,Mississippi
Ray Mabus,M,Caucasian/White,1948,null,null,1988,1992,Mississippi
Kirk Fordice,M,Caucasian/White,1934,null,null,1992,2000,Mississippi
Ronnie Musgrove,M,Caucasian/White,1956,null,null,2000,2004,Mississippi
Haley Barbour,M,Caucasian/White,1947,null,null,2004,2012,Mississippi
Phil Bryant,M,Caucasian/White,1954,null,null,2012,2020,Mississippi
Tate Reeves,M,Caucasian/White,1974,null,null,2020,2021,Mississippi
Warren E. Hearnes,M,Caucasian/White,1923,null,null,1965,1973,Missouri
Kit Bond,M,Caucasian/White,1939,null,null,1973,1977,Missouri
Joseph P. Teasdale,M,Caucasian/White,1936,null,null,1977,1981,Missouri
Kit Bond,M,Caucasian/White,1939,null,null,1981,1985,Missouri
John Ashcroft,M,Caucasian/White,1942,null,null,1985,1993,Missouri
Mel Carnahan,M,Caucasian/White,1934,null,null,1993,2000,Missouri
Roger B. Wilson,M,Caucasian/White,1948,null,null,2000,2001,Missouri
Bob Holden,M,Caucasian/White,1949,null,null,2001,2005,Missouri
Matt Blunt,M,Caucasian/White,1970,null,null,2005,2009,Missouri
Jay Nixon,M,Caucasian/White,1956,null,null,2009,2017,Missouri
Eric Greitens,M,Caucasian/White,1974,null,null,2017,2018,Missouri
Mike Parson,M,Caucasian/White,1955,null,null,2018,2020,Missouri
Forrest H. Anderson,M,Caucasian/White,1913,null,null,1969,1973,Montana
Thomas Lee Judge,M,Caucasian/White,1964,null,null,1973,1981,Montana
Ted Schwinden,M,Caucasian/White,1925,null,null,1981,1989,Montana
Stan Stephens,M,Caucasian/White,1929,null,null,1989,1993,Montana
Marc Racicot,M,Caucasian/White,1948,null,null,1993,2001,Montana
Judy Martz,F,Caucasian/White,1943,null,null,2001,2005,Montana
Brian Schweitzer,M,Caucasian/White,1955,null,null,2005,2013,Montana
Steve Bullock,M,Caucasian/White,1966,null,null,2013,2021,Montana
Greg Gianforte,M,Caucasian/White,1961,null,null,2021,2022,Montana
Norbert Tiemann,M,Caucasian/White,1924,null,null,1967,1971,Nebraska
J. James Exon,M,Caucasian/White,1921,null,null,1971,1979,Nebraska
Charles Thone,M,Caucasian/White,1924,null,null,1979,1983,Nebraska
J. Robert Kerrey,M,Caucasian/White,1943,null,null,1983,1987,Nebraska
Kay A. Orr,F,Caucasian/White,1939,null,null,1987,1991,Nebraska
Ben Nelson,M,Caucasian/White,1941,null,null,1991,1999,Nebraska
Mike Johanns,M,Caucasian/White,1950,null,null,1999,2005,Nebraska
Dave Heineman,M,Caucasian/White,1948,null,null,2005,2015,Nebraska
Pete Ricketts,M,Caucasian/White,1964,null,null,2015,2021,Nebraska
Paul Laxalt,M,Caucasian/White,1922,null,null,1967,1971,Nevada
Mike OCallaghan,M,Caucasian/White,1929,null,null,1971,1979,Nevada
Robert List,M,Caucasian/White,1936,null,null,1979,1983,Nevada
Richard Bryan,M,Caucasian/White,1937,null,null,1983,1989,Nevada
Bob Miller,M,Caucasian/White,1945,null,null,1989,1999,Nevada
Kenny Guinn,M,Caucasian/White,1936,null,null,1999,2007,Nevada
